,PointIndex,ViewId,FeatureIndex
155,256,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([823.2208252 , 622.07434082]), array([655.11181641, 527.32995605])]"
156,258,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([823.26409912, 330.31494141]), array([648.71862793, 194.89064026])]"
157,261,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([825.11645508, 337.38464355]), array([652.21038818, 203.39863586])]"
158,263,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([827.78491211, 972.39758301]), array([671.85455322, 927.13214111])]"
159,265,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 827.84991455, 1767.01843262]), array([1159.69970703, 1841.27746582])]"
160,267,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([828.62036133, 505.57220459]), array([659.16918945, 395.53048706])]"
161,269,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 829.42730713, 1232.99133301]), array([ 678.16052246, 1223.40979004])]"
162,271,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 836.57366943, 1345.82556152]), array([ 789.84063721, 1352.30432129])]"
163,273,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 839.94891357, 1233.5501709 ]), array([ 693.72650146, 1223.95092773])]"
164,275,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([841.96026611, 397.86276245]), array([679.02087402, 273.24353027])]"
165,278,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 847.61322021, 1139.92468262]), array([ 704.17858887, 1117.0447998 ])]"
166,280,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([849.91790771, 840.8258667 ]), array([701.75946045, 777.6114502 ])]"
167,282,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 850.07928467, 1185.3536377 ]), array([ 709.44030762, 1169.35656738])]"
168,284,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([857.70202637, 896.21551514]), array([714.84802246, 840.7991333 ])]"
169,287,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([859.93432617, 387.29849243]), array([706.07409668, 262.79150391])]"
170,289,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([860.75427246, 616.76977539]), array([711.93353271, 523.11474609])]"
171,291,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([864.03503418, 576.50970459]), array([717.06286621, 478.03192139])]"
172,293,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 865.01275635, 1337.35998535]), array([ 834.28533936, 1342.00744629])]"
173,295,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([866.52264404, 483.23455811]), array([717.7444458 , 372.12405396])]"
174,297,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([867.96240234, 546.76861572]), array([721.60437012, 444.69729614])]"
175,299,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 873.60400391, 1320.43273926]), array([ 846.62799072, 1321.87426758])]"
176,301,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([873.76184082, 954.96166992]), array([740.83575439, 907.91479492])]"
177,304,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 875.06738281, 1305.76013184]), array([ 830.31726074, 1305.55480957])]"
178,306,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 878.9175415 , 1739.77966309]), array([1209.13989258, 1805.55895996])]"
179,309,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 879.52728271, 1333.12524414]), array([ 855.38677979, 1337.78430176])]"
180,311,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([880.26660156, 255.67440796]), array([733.99890137, 114.70623016])]"
181,313,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([881.11651611, 480.30371094]), array([741.70184326, 369.46755981])]"
182,315,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([881.35705566, 334.27474976]), array([736.54821777, 204.48394775])]"
183,317,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 887.04516602, 1378.80175781]), array([ 869.76293945, 1388.41381836])]"
184,319,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([891.10565186, 253.99899292]), array([751.48620605, 113.80280304])]"
185,321,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 893.41473389, 1330.04467773]), array([ 878.93243408, 1332.9050293 ])]"
186,323,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([893.49542236, 421.83984375]), array([758.11206055, 304.540802  ])]"
187,325,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([893.95306396, 613.43640137]), array([760.56988525, 521.76806641])]"
188,327,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([894.71038818, 475.20413208]), array([760.90270996, 365.03411865])]"
189,329,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 897.1539917 , 1641.37695312]), array([1220.43786621, 1690.01159668])]"
190,331,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 897.4196167 , 1767.18322754]), array([1240.7598877 , 1835.61547852])]"
191,333,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 899.60028076, 1377.96582031]), array([ 888.08172607, 1387.32263184])]"
192,335,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([899.72302246, 831.90124512]), array([777.4800415 , 769.17327881])]"
193,337,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 902.80731201, 1245.05004883]), array([ 849.87664795, 1236.1862793 ])]"
194,339,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 902.83209229, 1370.29138184]), array([ 893.16314697, 1378.61193848])]"
195,341,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([903.5380249 , 952.63745117]), array([786.2857666 , 905.96026611])]"
196,343,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 910.81549072, 1651.14648438]), array([1239.74060059, 1701.77294922])]"
197,345,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([912.93060303, 470.40512085]), array([787.93634033, 360.86672974])]"
198,347,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([916.77050781, 182.03791809]), array([789.89129639,  34.48596191])]"
199,349,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 917.42028809, 1305.75927734]), array([ 874.04510498, 1304.30834961])]"
200,351,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([917.75823975, 707.15911865]), array([802.72735596, 628.60906982])]"
201,353,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([924.82427979, 177.06893921]), array([799.48999023,  30.88026428])]"
202,355,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 930.64837646, 1434.44775391]), array([ 956.36724854, 1450.19970703])]"
